year,building-type,benchmark-target,building-type-shorthand,unit,construction-delivery-type
2039,Data Centre - High utilisation (d),1.11,Data Centre.1,PUE,newbuild
2040,Data Centre - High utilisation (d),1.1,Data Centre.1,PUE,newbuild
2050,Data Centre - High utilisation (d),1.1,Data Centre.1,PUE,newbuild
2025,Healthcare,,Health.,kWh/m²GIA/yr,newbuild
2026,Healthcare,,Health.,kWh/m²GIA/yr,newbuild
2027,Healthcare,,Health.,kWh/m²GIA/yr,newbuild
2028,Healthcare,,Health.,kWh/m²GIA/yr,newbuild
2029,Healthcare,,Health.,kWh/m²GIA/yr,newbuild
2030,Healthcare,,Health.,kWh/m²GIA/yr,newbuild
2031,Healthcare,,Health.,kWh/m²GIA/yr,newbuild
2032,Healthcare,,Health.,kWh/m²GIA/yr,newbuild
2033,Healthcare,,Health.,kWh/m²GIA/yr,newbuild
2034,Healthcare,,Health.,kWh/m²GIA/yr,newbuild
2035,Healthcare,,Health.,kWh/m²GIA/yr,newbuild
2036,Healthcare,,Health.,kWh/m²GIA/yr,newbuild
2037,Healthcare,,Health.,kWh/m²GIA/yr,newbuild
2038,Healthcare,,Health.,kWh/m²GIA/yr,newbuild
2039,Healthcare,,Health.,kWh/m²GIA/yr,newbuild
2040,Healthcare,,Health.,kWh/m²GIA/yr,newbuild
2050,Healthcare,,Health.,kWh/m²GIA/yr,newbuild
2025,Higher Education,100.0,High. Ed.,kWh/m²GIA/yr,newbuild
2026,Higher Education,98.0,High. Ed.,kWh/m²GIA/yr,newbuild
2027,Higher Education,95.0,High. Ed.,kWh/m²GIA/yr,newbuild
2028,Higher Education,92.0,High. Ed.,kWh/m²GIA/yr,newbuild
2029,Higher Education,90.0,High. Ed.,kWh/m²GIA/yr,newbuild
2030,Higher Education,87.0,High. Ed.,kWh/m²GIA/yr,newbuild
2031,Higher Education,84.0,High. Ed.,kWh/m²GIA/yr,newbuild
2032,Higher Education,82.0,High. Ed.,kWh/m²GIA/yr,newbuild
2033,Higher Education,79.0,High. Ed.,kWh/m²GIA/yr,newbuild
2034,Higher Education,76.0,High. Ed.,kWh/m²GIA/yr,newbuild
2035,Higher Education,74.0,High. Ed.,kWh/m²GIA/yr,newbuild
2036,Higher Education,71.0,High. Ed.,kWh/m²GIA/yr,newbuild
2037,Higher Education,68.0,High. Ed.,kWh/m²GIA/yr,newbuild
2038,Higher Education,66.0,High. Ed.,kWh/m²GIA/yr,newbuild
2039,Higher Education,63.0,High. Ed.,kWh/m²GIA/yr,newbuild
2040,Higher Education,60.0,High. Ed.,kWh/m²GIA/yr,newbuild
2050,Higher Education,60.0,High. Ed.,kWh/m²GIA/yr,newbuild
2025,Homes - Single family homes,45.0,Home S.F.,kWh/m²GIA/yr,newbuild
2026,Homes - Single family homes,45.0,Home S.F.,kWh/m²GIA/yr,newbuild
2027,Homes - Single family homes,44.0,Home S.F.,kWh/m²GIA/yr,newbuild
2028,Homes - Single family homes,43.0,Home S.F.,kWh/m²GIA/yr,newbuild
2029,Homes - Single family homes,43.0,Home S.F.,kWh/m²GIA/yr,newbuild
2030,Homes - Single family homes,42.0,Home S.F.,kWh/m²GIA/yr,newbuild
2031,Homes - Single family homes,41.0,Home S.F.,kWh/m²GIA/yr,newbuild
2032,Homes - Single family homes,41.0,Home S.F.,kWh/m²GIA/yr,newbuild
2033,Homes - Single family homes,40.0,Home S.F.,kWh/m²GIA/yr,newbuild
2034,Homes - Single family homes,39.0,Home S.F.,kWh/m²GIA/yr,newbuild
2035,Homes - Single family homes,39.0,Home S.F.,kWh/m²GIA/yr,newbuild
2036,Homes - Single family homes,38.0,Home S.F.,kWh/m²GIA/yr,newbuild
2037,Homes - Single family homes,37.0,Home S.F.,kWh/m²GIA/yr,newbuild
2038,Homes - Single family homes,37.0,Home S.F.,kWh/m²GIA/yr,newbuild
2039,Homes - Single family homes,36.0,Home S.F.,kWh/m²GIA/yr,newbuild
2040,Homes - Single family homes,35.0,Home S.F.,kWh/m²GIA/yr,newbuild
2050,Homes - Single family homes,35.0,Home S.F.,kWh/m²GIA/yr,newbuild
2025,Homes - Flats,40.0,Home Flat.,kWh/m²GIA/yr,newbuild
2026,Homes - Flats,40.0,Home Flat.,kWh/m²GIA/yr,newbuild
2027,Homes - Flats,40.0,Home Flat.,kWh/m²GIA/yr,newbuild
2028,Homes - Flats,39.0,Home Flat.,kWh/m²GIA/yr,newbuild
2029,Homes - Flats,39.0,Home Flat.,kWh/m²GIA/yr,newbuild
2030,Homes - Flats,39.0,Home Flat.,kWh/m²GIA/yr,newbuild
2031,Homes - Flats,38.0,Home Flat.,kWh/m²GIA/yr,newbuild
2032,Homes - Flats,38.0,Home Flat.,kWh/m²GIA/yr,newbuild
2033,Homes - Flats,38.0,Home Flat.,kWh/m²GIA/yr,newbuild
2034,Homes - Flats,37.0,Home Flat.,kWh/m²GIA/yr,newbuild
2035,Homes - Flats,37.0,Home Flat.,kWh/m²GIA/yr,newbuild
2036,Homes - Flats,37.0,Home Flat.,kWh/m²GIA/yr,newbuild
2037,Homes - Flats,36.0,Home Flat.,kWh/m²GIA/yr,newbuild
2038,Homes - Flats,36.0,Home Flat.,kWh/m²GIA/yr,newbuild
2039,Homes - Flats,36.0,Home Flat.,kWh/m²GIA/yr,newbuild
2040,Homes - Flats,35.0,Home Flat.,kWh/m²GIA/yr,newbuild
2050,Homes - Flats,35.0,Home Flat.,kWh/m²GIA/yr,newbuild
2025,Hotel,125.0,Hotel,kWh/m²GIA/yr,newbuild
2026,Hotel,122.0,Hotel,kWh/m²GIA/yr,newbuild
2027,Hotel,119.0,Hotel,kWh/m²GIA/yr,newbuild
2028,Hotel,116.0,Hotel,kWh/m²GIA/yr,newbuild
2029,Hotel,113.0,Hotel,kWh/m²GIA/yr,newbuild
2030,Hotel,110.0,Hotel,kWh/m²GIA/yr,newbuild
2031,Hotel,107.0,Hotel,kWh/m²GIA/yr,newbuild
2032,Hotel,104.0,Hotel,kWh/m²GIA/yr,newbuild
2033,Hotel,101.0,Hotel,kWh/m²GIA/yr,newbuild
2034,Hotel,98.0,Hotel,kWh/m²GIA/yr,newbuild
2035,Hotel,95.0,Hotel,kWh/m²GIA/yr,newbuild
2036,Hotel,92.0,Hotel,kWh/m²GIA/yr,newbuild
2037,Hotel,89.0,Hotel,kWh/m²GIA/yr,newbuild
2038,Hotel,86.0,Hotel,kWh/m²GIA/yr,newbuild
2039,Hotel,83.0,Hotel,kWh/m²GIA/yr,newbuild
2040,Hotel,80.0,Hotel,kWh/m²GIA/yr,newbuild
2050,Hotel,80.0,Hotel,kWh/m²GIA/yr,newbuild
2025,Office - General,85.0,Off. Gen. (GIA),kWh/m²GIA/yr,newbuild
2026,Office - General,83.0,Off. Gen. (GIA),kWh/m²GIA/yr,newbuild
2027,Office - General,80.0,Off. Gen. (GIA),kWh/m²GIA/yr,newbuild
2028,Office - General,77.0,Off. Gen. (GIA),kWh/m²GIA/yr,newbuild
2029,Office - General,75.0,Off. Gen. (GIA),kWh/m²GIA/yr,newbuild
2030,Office - General,72.0,Off. Gen. (GIA),kWh/m²GIA/yr,newbuild
2031,Office - General,69.0,Off. Gen. (GIA),kWh/m²GIA/yr,newbuild
2032,Office - General,67.0,Off. Gen. (GIA),kWh/m²GIA/yr,newbuild
2033,Office - General,64.0,Off. Gen. (GIA),kWh/m²GIA/yr,newbuild
2034,Office - General,61.0,Off. Gen. (GIA),kWh/m²GIA/yr,newbuild
2035,Office - General,59.0,Off. Gen. (GIA),kWh/m²GIA/yr,newbuild
2036,Office - General,56.0,Off. Gen. (GIA),kWh/m²GIA/yr,newbuild
2037,Office - General,53.0,Off. Gen. (GIA),kWh/m²GIA/yr,newbuild
